[2022-05-13 22:16:16,373] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\Spira\jira-spira-bugs.kjb
[2022-05-13 22:16:16,382] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\VTBSLA\VTBSLA.kjb
[2022-05-13 22:16:16,390] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Долги_статистика\Итоговый расчет.kjb
[2022-05-13 22:19:09,291] [INFO] - Slf4jLogger started
[2022-05-13 22:19:12,169] [INFO] - Server online at http://0:0:0:0:0:0:0:0:8080/
[2022-05-13 22:20:10,260] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\Admindup\AdminDUPMain.kjb
[2022-05-13 22:20:10,376] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\EstaffUserImport\estaff_mail.kjb
[2022-05-13 22:20:10,409] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FULL.kjb
[2022-05-13 22:20:10,427] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\EasyBI\EasyBI.kjb
[2022-05-13 22:20:10,439] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\EasyBI\separateEasyBI.kjb
[2022-05-13 22:20:10,452] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FIN\Reports.kjb
[2022-05-13 22:20:10,460] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\FIN\Обновить сводные данные.kjb
[2022-05-13 22:20:10,474] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\FULL\STG\STG.kjb
[2022-05-13 22:20:10,488] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\JiraAutomation\JiraAutomations.kjb
[2022-05-13 22:20:10,495] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\JiraAutomation\VerticalEmployeeAccessJob.kjb
[2022-05-13 22:20:10,506] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Night.kjb
[2022-05-13 22:20:10,520] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Django\Django.kjb
[2022-05-13 22:20:10,526] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\JIRA NEW\JIRA NEW.kjb
[2022-05-13 22:20:10,535] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\Night\Portal\Portal.kjb
[2022-05-13 22:20:10,545] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\ProjectPortal\ProjectPortalMain.kjb
[2022-05-13 22:20:10,556] [INFO] - process file: C:\projects\temp\ac\localRep\Integrations\ProjectPortal\Datalake\Datalake.kjb
[2022-05-13 22:20:10,571] [INFO] - process file: C:\projects\temp\ac\localRep\jira8migration\runFullAndNight.kjb
[2022-05-13 22:20:10,577] [INFO] - process file: C:\projects\temp\ac\localRep\jira8migration\testChangedTransformations.kjb
[2022-05-13 22:20:10,609] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\AbsenceReport\AbsenceMain.kjb
[2022-05-13 22:20:10,618] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Allocation\Allocation.kjb
[2022-05-13 22:20:10,625] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\consolidation.kjb
[2022-05-13 22:20:10,631] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\detalisation.kjb
[2022-05-13 22:20:10,638] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\FBBJ.kjb
[2022-05-13 22:20:10,643] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\fixation.kjb
[2022-05-13 22:20:10,651] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingBonus\f_billing_bonus_job - Copy.kjb
[2022-05-13 22:20:10,660] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Billings\BillingReportJob.kjb
[2022-05-13 22:20:10,667] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Billings Forecast\BillingsForecast.kjb
[2022-05-13 22:20:10,674] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\BillingsBonus.kjb
[2022-05-13 22:20:10,686] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\Calculate substrate.kjb
[2022-05-13 22:20:10,699] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\BillingsBonus\Calculate total.kjb
[2022-05-13 22:20:10,715] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\CubeIssuesReport\CubeReport.kjb
[2022-05-13 22:20:10,721] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\DebtsOfProjectPrograms\DOPPJob.kjb
[2022-05-13 22:20:10,727] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\DebtsStatistics\ExcelTotalAmounts.kjb
[2022-05-13 22:20:10,737] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Grades detalization\Детализация по грейдам.kjb
[2022-05-13 22:20:10,744] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\LKK Reports\LKK Delays.kjb
[2022-05-13 22:20:10,754] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\ManagersReport\ManagersReportMain.kjb
[2022-05-13 22:20:10,762] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\NFO\nfo_bug_job.kjb
[2022-05-13 22:20:10,769] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\POInvoice\invoicejob.kjb
[2022-05-13 22:20:10,776] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RegisterContracts\RegisterContractsJob.kjb
[2022-05-13 22:20:10,783] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RFPP\RFPP.kjb
[2022-05-13 22:20:10,789] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RFPP\Простые статьи.kjb
[2022-05-13 22:20:10,796] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\RFPP\Составные статьи.kjb
[2022-05-13 22:20:10,814] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\SalePlan\SalePlan.kjb
[2022-05-13 22:20:10,819] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\SpecialistsBonus\SpecialistsBonus.kjb
[2022-05-13 22:20:10,826] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\TurnaroundWorklogs\TurnaroundUpdate.kjb
[2022-05-13 22:20:10,835] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\SOAVTB.kjb
[2022-05-13 22:20:10,841] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\jira_bugs\Дефекты окно для ВТБ.kjb
[2022-05-13 22:20:10,845] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\RELEASE\RELEASE.kjb
[2022-05-13 22:20:10,853] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\Spira\jira-spira-bugs.kjb
[2022-05-13 22:20:10,860] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\VTB\VTBSLA\VTBSLA.kjb
[2022-05-13 22:20:10,868] [INFO] - process file: C:\projects\temp\ac\localRep\Reports\Долги_статистика\Итоговый расчет.kjb
[2022-05-13 23:26:16,020] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\Admindup\AdminDUPMain.kjb
[2022-05-13 23:26:16,050] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\EstaffUserImport\estaff_mail.kjb
